date,country,yield,yield_de,spread,spread_change_1m,spread_vol_3m
2025-09-01,GR,3.39,2.693,0.6970000000000001,0.0009999999999998899,0.02230097157823523
2025-10-01,GR,3.3,2.617,0.6829999999999998,-0.014000000000000234,0.017039170558840487
2025-11-01,GR,3.3,2.657,0.6429999999999998,-0.040000000000000036,0.020744477176666998
2025-12-01,GR,3.44,2.813,0.6269999999999998,-0.016000000000000014,0.014468356276137882
2026-01-01,GR,3.43,2.807,0.6230000000000002,-0.0039999999999995595,0.01833030277982157
2026-02-01,GR,3.39,2.744,0.6459999999999999,0.022999999999999687,0.019974984355436116
2019-01-01,IT,2.77,0.13,2.64,,
2019-02-01,IT,2.812,0.06,2.752,0.11199999999999966,
2019-03-01,IT,2.69,0.01,2.68,-0.07199999999999962,0.13010764773832423
2019-04-01,IT,2.618,-0.04,2.658,-0.02200000000000024,0.09514199913813005
2019-05-01,IT,2.644,-0.13,2.774,0.1160000000000001,0.09737213838328355
2019-06-01,IT,2.284,-0.31,2.594,-0.18000000000000016,0.14811256980193602
2019-07-01,IT,1.654,-0.39,2.044,-0.5499999999999998,0.3336844817088941
2019-08-01,IT,1.404,-0.65,2.054,0.009999999999999787,0.2847806173179626
2019-09-01,IT,0.902,-0.59,1.492,-0.5619999999999998,0.3268353306075296
2019-10-01,IT,1.004,-0.47,1.474,-0.018000000000000016,0.3224655020308372
2019-11-01,IT,1.266,-0.35,1.616,0.14200000000000013,0.3690420030294653
2019-12-01,IT,1.37,-0.3,1.6700000000000002,0.05400000000000005,0.08013322240702175
2020-01-01,IT,1.275,-0.31,1.585,-0.08500000000000019,0.11445086281894037
2020-02-01,IT,0.955,-0.47,1.4249999999999998,-0.16000000000000014,0.10858330135584042
2020-03-01,IT,1.551,-0.54,2.091,0.6660000000000004,0.4567825886932792
2020-04-01,IT,1.799,-0.45,2.249,0.15799999999999992,0.41662613136160026
2020-05-01,IT,1.762,-0.516,2.278,0.028999999999999915,0.33676747665612444
2020-06-01,IT,1.455,-0.434,1.889,-0.389,0.2859411361335286
2020-07-01,IT,1.196,-0.523,1.7189999999999999,-0.17000000000000015,0.20907972960890578
2020-08-01,IT,1.032,-0.522,1.554,-0.1649999999999998,0.12790751867397468
2020-09-01,IT,0.981,-0.524,1.505,-0.049000000000000155,0.06846166810704962
2020-10-01,IT,0.77,-0.607,1.377,-0.1279999999999999,0.05925369186810055
2020-11-01,IT,0.664,-0.614,1.278,-0.09899999999999998,0.03996248240537383
2020-12-01,IT,0.578,-0.618,1.196,-0.08200000000000007,0.023259406699222166
2021-01-01,IT,0.616,-0.583,1.1989999999999998,0.0029999999999998916,0.05464735431229171
2021-02-01,IT,0.59,-0.446,1.036,-0.1629999999999998,0.08300803173990533
2021-03-01,IT,0.704,-0.364,1.068,0.03200000000000003,0.10521565156065482
2021-04-01,IT,0.797,-0.325,1.122,0.05400000000000005,0.11944175707571088
2021-05-01,IT,0.984,-0.223,1.207,0.08499999999999996,0.026627053911385146
2021-06-01,IT,0.875,-0.288,1.163,-0.04400000000000004,0.06733745861950204
2021-07-01,IT,0.748,-0.45,1.198,0.03499999999999992,0.06504101270224155
2021-08-01,IT,0.628,-0.539,1.167,-0.030999999999999917,0.04235957192103275
2021-09-01,IT,0.777,-0.363,1.1400000000000001,-0.026999999999999913,0.03700450423033854
2021-10-01,IT,0.955,-0.206,1.161,0.020999999999999908,0.02893671255227767
2021-11-01,IT,1.01,-0.312,1.322,0.16100000000000003,0.09767974883942497
2021-12-01,IT,1.047,-0.383,1.43,0.10799999999999987,0.07068474611493734
2022-01-01,IT,1.346,-0.115,1.461,0.03100000000000014,0.06536818798161535
2022-02-01,IT,1.794,0.15,1.6440000000000001,0.18300000000000005,0.07600219295081648
2022-03-01,IT,1.854,0.282,1.572,-0.07200000000000006,0.1282822409117223
2022-04-01,IT,2.436,0.745,1.6909999999999998,0.11899999999999977,0.13266624790553605
2022-05-01,IT,2.99,0.953,2.0370000000000004,0.34600000000000053,0.2092582136978139
